                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.6137,                 1.9542,                 2.0215,                0.67648,                0.64474,                0.68527,                0.37826,                 1.5581,                 1.5028,                 2.0788,             0.00019273,             0.00019273,             0.00019273
                     67,                 1.5918,                  1.934,                 2.0141,                0.70801,                0.65393,                0.70704,                0.39337,                 1.5395,                  1.463,                 2.0757,             0.00018752,             0.00018752,             0.00018752
                     68,                  1.616,                 1.9471,                 2.0191,                0.68646,                0.66923,                0.70787,                0.39118,                 1.5507,                 1.4398,                 2.0823,             0.00018231,             0.00018231,             0.00018231
                     69,                 1.6205,                 1.9134,                 2.0151,                0.70902,                0.63743,                0.70569,                0.38276,                  1.565,                 1.4473,                 2.0817,              0.0001771,              0.0001771,              0.0001771
                     70,                 1.5764,                  1.894,                 1.9969,                0.70645,                0.64099,                0.70684,                0.39414,                 1.5127,                 1.5066,                 2.0535,              0.0001719,              0.0001719,              0.0001719
                     71,                 1.6029,                 1.8664,                 2.0073,                0.72317,                0.63857,                0.71852,                0.40508,                 1.4962,                 1.4288,                 2.0322,             0.00016669,             0.00016669,             0.00016669
                     72,                 1.6263,                 1.8976,                 2.0144,                0.73798,                0.66666,                0.73267,                0.41394,                 1.5066,                 1.3645,                 2.0377,             0.00016148,             0.00016148,             0.00016148
                     73,                 1.5845,                 1.8437,                  1.986,                0.70652,                0.66298,                0.71885,                0.41129,                 1.5031,                 1.3685,                 2.0299,             0.00015627,             0.00015627,             0.00015627
                     74,                 1.5686,                 1.8295,                 1.9793,                0.70107,                0.70214,                0.74256,                0.42379,                  1.478,                 1.3515,                 2.0146,             0.00015107,             0.00015107,             0.00015107
                     75,                 1.5745,                 1.8144,                 1.9903,                0.72814,                0.69027,                0.75234,                0.42967,                 1.4626,                 1.3673,                 2.0022,             0.00014586,             0.00014586,             0.00014586
                     76,                 1.5765,                 1.7746,                 1.9867,                0.72351,                0.69493,                0.75092,                0.42997,                 1.4645,                 1.3426,                 2.0046,             0.00014065,             0.00014065,             0.00014065
                     77,                 1.5462,                 1.7705,                 1.9642,                0.76914,                0.70429,                0.77714,                0.45459,                 1.4559,                 1.2715,                  1.983,             0.00013544,             0.00013544,             0.00013544
                     78,                 1.5396,                 1.7502,                 1.9445,                0.78342,                0.70518,                 0.7801,                0.45458,                 1.4604,                 1.2438,                 1.9843,             0.00013024,             0.00013024,             0.00013024
                     79,                  1.554,                 1.7566,                 1.9636,                0.73281,                0.72165,                0.77261,                0.44719,                  1.458,                 1.2898,                 1.9883,             0.00012503,             0.00012503,             0.00012503
                     80,                 1.5527,                 1.7441,                 1.9531,                0.76123,                0.73216,                0.78765,                0.46574,                 1.4283,                 1.2408,                 1.9654,             0.00011982,             0.00011982,             0.00011982
                     81,                 1.5352,                 1.7002,                  1.935,                0.77572,                0.71182,                0.79059,                0.47199,                 1.4077,                 1.2152,                  1.939,             0.00011462,             0.00011462,             0.00011462
                     82,                 1.5648,                 1.7348,                 1.9608,                0.77683,                 0.7319,                0.79858,                0.47623,                 1.3942,                 1.1973,                 1.9389,             0.00010941,             0.00010941,             0.00010941
                     83,                  1.509,                 1.6817,                 1.9228,                0.76656,                0.73504,                0.79894,                0.47669,                 1.4075,                 1.2103,                  1.937,              0.0001042,              0.0001042,              0.0001042
                     84,                 1.5065,                 1.6355,                 1.9241,                0.78161,                0.73914,                0.80667,                0.48466,                 1.3943,                 1.1687,                 1.9326,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                 1.5056,                 1.6566,                 1.9329,                0.76994,                0.74287,                0.80802,                0.49024,                 1.3756,                 1.1588,                 1.9263,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                 1.5093,                 1.7029,                 1.9296,                 0.7999,                0.73783,                 0.8151,                0.49456,                 1.3794,                 1.1818,                  1.923,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                 1.4959,                 1.6383,                  1.902,                0.78191,                0.75426,                0.81402,                0.48947,                 1.3858,                 1.1613,                 1.9138,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                 1.5185,                  1.644,                 1.9313,                0.79079,                0.76881,                0.82877,                0.50688,                 1.3564,                 1.1161,                 1.9086,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                 1.4893,                 1.6035,                 1.8907,                0.78991,                0.77095,                0.83014,                0.50879,                 1.3465,                 1.1218,                 1.8893,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                 1.4928,                 1.6402,                 1.9021,                0.79815,                0.77471,                0.83288,                 0.5061,                 1.3544,                 1.1325,                    1.9,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                 1.4315,                 1.4081,                 1.9605,                0.78326,                0.77729,                0.83006,                0.51026,                  1.351,                 1.1249,                 1.8982,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                 1.4026,                 1.3348,                 1.9355,                0.79079,                0.76713,                0.83445,                0.51508,                  1.335,                 1.0868,                 1.8752,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                 1.3851,                 1.2938,                 1.9009,                0.79795,                0.79516,                0.84495,                0.52564,                 1.3135,                 1.0695,                  1.857,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                 1.3771,                 1.2701,                 1.9158,                0.82489,                0.77802,                0.85449,                0.53262,                 1.3044,                  1.072,                 1.8542,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                 1.3681,                 1.2481,                 1.8949,                0.82962,                0.78591,                0.85517,                0.53789,                 1.2906,                 1.0643,                 1.8377,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                  1.366,                 1.2518,                 1.9089,                0.82235,                0.79474,                0.85783,                0.54419,                   1.28,                 1.0454,                  1.834,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                 1.3709,                 1.2352,                 1.8851,                 0.8088,                0.80536,                0.86091,                0.54686,                 1.2689,                 1.0315,                 1.8176,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                 1.3216,                 1.1943,                 1.8531,                0.82722,                0.79452,                0.86484,                0.55135,                 1.2637,                 1.0238,                 1.8152,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                 1.3203,                 1.2085,                 1.8499,                0.82897,                0.79604,                0.86488,                 0.5513,                 1.2623,                 1.0228,                 1.8116,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                 1.3387,                  1.196,                 1.8691,                0.82827,                0.79623,                0.86804,                0.55557,                 1.2533,                  1.006,                 1.8045,             1.5675e-05,             1.5675e-05,             1.5675e-05
